tensor(0.6576, device='cuda:0')
tensor(0.3343, device='cuda:0')
tensor(0.2157, device='cuda:0')
tensor(0.2339, device='cuda:0')
tensor(0.1845, device='cuda:0')
tensor(0.2513, device='cuda:0')
tensor(0.2200, device='cuda:0')
tensor(0.2211, device='cuda:0')
tensor(0.1486, device='cuda:0')
tensor(0.1982, device='cuda:0')
tensor(0.1235, device='cuda:0')
tensor(0.2226, device='cuda:0')
tensor(0.1730, device='cuda:0')
tensor(0.1886, device='cuda:0')
tensor(0.1982, device='cuda:0')
tensor(0.2099, device='cuda:0')
tensor(0.1399, device='cuda:0')
tensor(0.2720, device='cuda:0')
tensor(0.2291, device='cuda:0')
tensor(0.1999, device='cuda:0')
tensor(0.2050, device='cuda:0')
tensor(0.2547, device='cuda:0')
tensor(0.1408, device='cuda:0')
tensor(0.2592, device='cuda:0')
tensor(1.00000e-02 *
       5.9261, device='cuda:0')
tensor(0.2046, device='cuda:0')
tensor(0.2288, device='cuda:0')
tensor(0.1118, device='cuda:0')
tensor(0.2361, device='cuda:0')
tensor(1.00000e-02 *
       8.5958, device='cuda:0')
tensor(0.2948, device='cuda:0')
tensor(0.1604, device='cuda:0')
tensor(0.2139, device='cuda:0')
tensor(0.1642, device='cuda:0')
tensor(0.2388, device='cuda:0')
tensor(0.2727, device='cuda:0')
tensor(0.2759, device='cuda:0')
tensor(0.1740, device='cuda:0')
tensor(0.2305, device='cuda:0')
tensor(0.3388, device='cuda:0')
tensor(0.2919, device='cuda:0')
tensor(0.2509, device='cuda:0')
tensor(0.3153, device='cuda:0')
tensor(0.3387, device='cuda:0')
tensor(0.2051, device='cuda:0')
tensor(0.4173, device='cuda:0')
tensor(0.3457, device='cuda:0')
tensor(0.2195, device='cuda:0')
tensor(0.3656, device='cuda:0')
tensor(0.2786, device='cuda:0')
tensor(0.2774, device='cuda:0')
tensor(0.3734, device='cuda:0')
tensor(0.3072, device='cuda:0')
tensor(0.2159, device='cuda:0')
tensor(0.3306, device='cuda:0')
tensor(0.3538, device='cuda:0')
tensor(0.2875, device='cuda:0')
tensor(0.3167, device='cuda:0')
tensor(0.3766, device='cuda:0')
tensor(0.3926, device='cuda:0')
tensor(0.3118, device='cuda:0')
tensor(0.2047, device='cuda:0')
tensor(0.3671, device='cuda:0')
tensor(0.2685, device='cuda:0')
tensor(0.4823, device='cuda:0')
tensor(0.4040, device='cuda:0')
tensor(0.2889, device='cuda:0')
tensor(0.3271, device='cuda:0')
tensor(0.3672, device='cuda:0')
tensor(0.2716, device='cuda:0')
tensor(0.2883, device='cuda:0')
tensor(0.2906, device='cuda:0')
tensor(0.3720, device='cuda:0')
tensor(0.5579, device='cuda:0')
tensor(0.3634, device='cuda:0')
tensor(0.3286, device='cuda:0')
tensor(0.4286, device='cuda:0')
tensor(0.4411, device='cuda:0')
tensor(0.4132, device='cuda:0')
tensor(0.4202, device='cuda:0')
tensor(0.3477, device='cuda:0')
tensor(0.3159, device='cuda:0')
tensor(0.4707, device='cuda:0')
tensor(0.3675, device='cuda:0')
tensor(0.2907, device='cuda:0')
tensor(0.3756, device='cuda:0')
tensor(0.3173, device='cuda:0')
tensor(0.4925, device='cuda:0')
tensor(0.4043, device='cuda:0')
tensor(0.4894, device='cuda:0')
tensor(0.3390, device='cuda:0')
tensor(0.3842, device='cuda:0')
tensor(0.4033, device='cuda:0')
tensor(0.4910, device='cuda:0')
tensor(0.4036, device='cuda:0')
tensor(0.4052, device='cuda:0')
tensor(0.4243, device='cuda:0')
tensor(0.3573, device='cuda:0')
tensor(0.4605, device='cuda:0')
tensor(0.4526, device='cuda:0')
tensor(0.4240, device='cuda:0')
tensor(0.4726, device='cuda:0')
tensor(0.4286, device='cuda:0')
tensor(0.4915, device='cuda:0')
tensor(0.3650, device='cuda:0')
tensor(0.5359, device='cuda:0')
tensor(0.4971, device='cuda:0')
tensor(0.5446, device='cuda:0')
tensor(0.4114, device='cuda:0')
tensor(0.4006, device='cuda:0')
tensor(0.4302, device='cuda:0')
tensor(0.4016, device='cuda:0')
tensor(0.5210, device='cuda:0')
tensor(0.5639, device='cuda:0')
tensor(0.4273, device='cuda:0')
tensor(0.4242, device='cuda:0')
tensor(0.4842, device='cuda:0')
tensor(0.6508, device='cuda:0')
tensor(0.5081, device='cuda:0')
tensor(0.5138, device='cuda:0')
tensor(0.5269, device='cuda:0')
tensor(0.4455, device='cuda:0')
tensor(0.5095, device='cuda:0')
tensor(0.4639, device='cuda:0')
tensor(0.6108, device='cuda:0')
tensor(0.5210, device='cuda:0')
tensor(0.5072, device='cuda:0')
tensor(0.4607, device='cuda:0')
tensor(0.5047, device='cuda:0')
tensor(0.4242, device='cuda:0')
tensor(0.5360, device='cuda:0')
tensor(0.5283, device='cuda:0')
tensor(0.4089, device='cuda:0')
tensor(0.4789, device='cuda:0')
tensor(0.5602, device='cuda:0')
tensor(0.6060, device='cuda:0')
tensor(0.4877, device='cuda:0')
tensor(0.4505, device='cuda:0')
tensor(0.6098, device='cuda:0')
tensor(0.5124, device='cuda:0')
tensor(0.6134, device='cuda:0')
tensor(0.4824, device='cuda:0')
tensor(0.5143, device='cuda:0')
tensor(0.5349, device='cuda:0')
tensor(0.5659, device='cuda:0')
tensor(0.6064, device='cuda:0')
tensor(0.5196, device='cuda:0')
tensor(0.5007, device='cuda:0')
tensor(0.5377, device='cuda:0')
tensor(0.6744, device='cuda:0')
tensor(0.5247, device='cuda:0')
tensor(0.5300, device='cuda:0')
tensor(0.5799, device='cuda:0')
tensor(0.5690, device='cuda:0')
tensor(0.5635, device='cuda:0')
tensor(0.5577, device='cuda:0')
tensor(0.6117, device='cuda:0')
tensor(0.5720, device='cuda:0')
tensor(0.5076, device='cuda:0')
tensor(0.5485, device='cuda:0')
tensor(0.5490, device='cuda:0')
tensor(0.6183, device='cuda:0')
tensor(0.4616, device='cuda:0')
tensor(0.5939, device='cuda:0')
tensor(0.4665, device='cuda:0')
tensor(0.5430, device='cuda:0')
tensor(0.5521, device='cuda:0')
tensor(0.4460, device='cuda:0')
tensor(0.5633, device='cuda:0')
tensor(0.4797, device='cuda:0')
tensor(0.6289, device='cuda:0')
tensor(0.5733, device='cuda:0')
tensor(0.5933, device='cuda:0')
tensor(0.4804, device='cuda:0')
tensor(0.4219, device='cuda:0')
tensor(0.5306, device='cuda:0')
tensor(0.4939, device='cuda:0')
tensor(0.4815, device='cuda:0')
tensor(0.5336, device='cuda:0')
tensor(0.4767, device='cuda:0')
tensor(0.6058, device='cuda:0')
tensor(0.5712, device='cuda:0')
tensor(0.5571, device='cuda:0')
tensor(0.6404, device='cuda:0')
tensor(0.5041, device='cuda:0')
tensor(0.4955, device='cuda:0')
tensor(0.5079, device='cuda:0')
tensor(0.5657, device='cuda:0')
tensor(0.5346, device='cuda:0')
tensor(0.6197, device='cuda:0')
tensor(0.7372, device='cuda:0')
tensor(0.6159, device='cuda:0')
tensor(0.5252, device='cuda:0')
tensor(0.6718, device='cuda:0')
tensor(0.5200, device='cuda:0')
tensor(0.5209, device='cuda:0')
tensor(0.6217, device='cuda:0')
tensor(0.5491, device='cuda:0')
tensor(0.5650, device='cuda:0')
tensor(0.4996, device='cuda:0')
tensor(0.5723, device='cuda:0')
tensor(0.5402, device='cuda:0')
tensor(0.6138, device='cuda:0')
tensor(0.5819, device='cuda:0')
tensor(0.4699, device='cuda:0')
tensor(0.6007, device='cuda:0')
tensor(0.5506, device='cuda:0')
tensor(0.6469, device='cuda:0')
tensor(0.8289, device='cuda:0')
tensor(0.5718, device='cuda:0')
tensor(0.5203, device='cuda:0')
tensor(0.5986, device='cuda:0')
tensor(0.6150, device='cuda:0')
tensor(0.5632, device='cuda:0')
tensor(0.5422, device='cuda:0')
tensor(0.5879, device='cuda:0')
tensor(0.5831, device='cuda:0')
tensor(0.7340, device='cuda:0')
tensor(0.6888, device='cuda:0')
tensor(0.6023, device='cuda:0')
tensor(0.6539, device='cuda:0')
tensor(0.5957, device='cuda:0')
tensor(0.6803, device='cuda:0')
tensor(0.6465, device='cuda:0')
tensor(0.6453, device='cuda:0')
tensor(0.6363, device='cuda:0')
tensor(0.6121, device='cuda:0')
tensor(0.5686, device='cuda:0')
tensor(0.6396, device='cuda:0')
tensor(0.5248, device='cuda:0')
tensor(0.5759, device='cuda:0')
tensor(0.7388, device='cuda:0')
tensor(0.7040, device='cuda:0')
tensor(0.5996, device='cuda:0')
tensor(0.6940, device='cuda:0')
tensor(0.6255, device='cuda:0')
tensor(0.6362, device='cuda:0')
tensor(0.6024, device='cuda:0')
tensor(0.7200, device='cuda:0')
tensor(0.6770, device='cuda:0')
tensor(0.6019, device='cuda:0')
tensor(0.6608, device='cuda:0')
tensor(0.6271, device='cuda:0')
tensor(0.6941, device='cuda:0')
tensor(0.6230, device='cuda:0')
tensor(0.6290, device='cuda:0')
tensor(0.6596, device='cuda:0')
tensor(0.6877, device='cuda:0')
tensor(0.6248, device='cuda:0')
tensor(0.7004, device='cuda:0')
tensor(0.6384, device='cuda:0')
tensor(0.6595, device='cuda:0')
tensor(0.6264, device='cuda:0')
tensor(0.7095, device='cuda:0')
tensor(0.5924, device='cuda:0')
tensor(0.6870, device='cuda:0')
tensor(0.6612, device='cuda:0')
tensor(0.6859, device='cuda:0')
tensor(0.6313, device='cuda:0')
tensor(0.6913, device='cuda:0')
tensor(0.7161, device='cuda:0')
tensor(0.8270, device='cuda:0')
tensor(0.6855, device='cuda:0')
tensor(0.6933, device='cuda:0')
tensor(0.6474, device='cuda:0')
tensor(0.7070, device='cuda:0')
tensor(0.6938, device='cuda:0')
tensor(0.6610, device='cuda:0')
tensor(0.6224, device='cuda:0')
tensor(0.7425, device='cuda:0')
tensor(0.7114, device='cuda:0')
tensor(0.6883, device='cuda:0')
tensor(0.7478, device='cuda:0')
tensor(0.6588, device='cuda:0')
tensor(0.7570, device='cuda:0')
tensor(0.7056, device='cuda:0')
tensor(0.7258, device='cuda:0')
tensor(0.6624, device='cuda:0')
tensor(0.7346, device='cuda:0')
tensor(0.6138, device='cuda:0')
tensor(0.6670, device='cuda:0')
tensor(0.7833, device='cuda:0')
tensor(0.6858, device='cuda:0')
tensor(0.7151, device='cuda:0')
tensor(0.7566, device='cuda:0')
tensor(0.7246, device='cuda:0')
tensor(0.7481, device='cuda:0')
tensor(0.6604, device='cuda:0')
tensor(0.7584, device='cuda:0')
tensor(0.7842, device='cuda:0')
tensor(0.6109, device='cuda:0')
tensor(0.6903, device='cuda:0')
tensor(0.7396, device='cuda:0')
tensor(0.8077, device='cuda:0')
tensor(0.7417, device='cuda:0')
tensor(0.6722, device='cuda:0')
tensor(0.7528, device='cuda:0')
tensor(0.7402, device='cuda:0')
tensor(0.7581, device='cuda:0')
tensor(0.7406, device='cuda:0')
tensor(0.7053, device='cuda:0')
tensor(0.7040, device='cuda:0')
tensor(0.7455, device='cuda:0')
tensor(0.7757, device='cuda:0')
tensor(0.7666, device='cuda:0')
tensor(0.8130, device='cuda:0')
tensor(0.6638, device='cuda:0')
tensor(0.7333, device='cuda:0')
tensor(0.8419, device='cuda:0')
tensor(0.6780, device='cuda:0')
tensor(0.8045, device='cuda:0')
tensor(0.7991, device='cuda:0')
tensor(0.6994, device='cuda:0')
tensor(0.7356, device='cuda:0')
tensor(0.7061, device='cuda:0')
tensor(0.8395, device='cuda:0')
tensor(0.6702, device='cuda:0')
tensor(0.7925, device='cuda:0')
tensor(0.7854, device='cuda:0')
tensor(0.7045, device='cuda:0')
tensor(0.7391, device='cuda:0')
tensor(0.7971, device='cuda:0')
tensor(0.7559, device='cuda:0')
tensor(0.7427, device='cuda:0')
tensor(0.7034, device='cuda:0')
tensor(0.7799, device='cuda:0')
tensor(0.7101, device='cuda:0')
tensor(0.7681, device='cuda:0')
tensor(0.7665, device='cuda:0')
tensor(0.7202, device='cuda:0')
tensor(0.7220, device='cuda:0')
tensor(0.7341, device='cuda:0')
tensor(0.7266, device='cuda:0')
tensor(0.6922, device='cuda:0')
tensor(0.7191, device='cuda:0')
tensor(0.8621, device='cuda:0')
tensor(0.7156, device='cuda:0')
tensor(0.7851, device='cuda:0')
tensor(0.6920, device='cuda:0')
tensor(0.8025, device='cuda:0')
tensor(0.6785, device='cuda:0')
tensor(0.7872, device='cuda:0')
tensor(0.6997, device='cuda:0')
tensor(0.8098, device='cuda:0')
tensor(0.7614, device='cuda:0')
tensor(0.7893, device='cuda:0')
tensor(0.6832, device='cuda:0')
tensor(0.7615, device='cuda:0')
tensor(0.7557, device='cuda:0')
tensor(0.8159, device='cuda:0')
tensor(0.7452, device='cuda:0')
tensor(0.7372, device='cuda:0')
tensor(0.7888, device='cuda:0')
tensor(0.7307, device='cuda:0')
tensor(0.8160, device='cuda:0')
tensor(0.7071, device='cuda:0')
tensor(0.7546, device='cuda:0')
tensor(0.7547, device='cuda:0')
tensor(0.7773, device='cuda:0')
tensor(0.8576, device='cuda:0')
tensor(0.7707, device='cuda:0')
tensor(0.7263, device='cuda:0')
tensor(0.7864, device='cuda:0')
tensor(0.8161, device='cuda:0')
tensor(0.7856, device='cuda:0')
tensor(0.6813, device='cuda:0')
tensor(0.7887, device='cuda:0')
tensor(0.7102, device='cuda:0')
tensor(0.8226, device='cuda:0')
tensor(0.7861, device='cuda:0')
tensor(0.7180, device='cuda:0')
tensor(0.7642, device='cuda:0')
tensor(0.7524, device='cuda:0')
tensor(0.8067, device='cuda:0')
tensor(0.7201, device='cuda:0')
tensor(0.7685, device='cuda:0')
tensor(0.7765, device='cuda:0')
tensor(0.7796, device='cuda:0')
tensor(0.7749, device='cuda:0')
tensor(0.8242, device='cuda:0')
tensor(0.8379, device='cuda:0')
tensor(0.7093, device='cuda:0')
tensor(0.7551, device='cuda:0')
tensor(0.7402, device='cuda:0')
tensor(0.8355, device='cuda:0')
tensor(0.7981, device='cuda:0')
