tensor(3431.9758, device='cuda:0')
tensor(3581.0781, device='cuda:0')
tensor(3419.5645, device='cuda:0')
tensor(3397.9934, device='cuda:0')
tensor(3361.2390, device='cuda:0')
tensor(3357.9246, device='cuda:0')
tensor(3346.7686, device='cuda:0')
tensor(3334.1694, device='cuda:0')
tensor(3327.9470, device='cuda:0')
tensor(3390.3042, device='cuda:0')
tensor(3367.8274, device='cuda:0')
tensor(3348.6174, device='cuda:0')
tensor(3330.6970, device='cuda:0')
tensor(3356.9102, device='cuda:0')
tensor(3341.9739, device='cuda:0')
tensor(3339.2390, device='cuda:0')
tensor(3342.0710, device='cuda:0')
tensor(3346.2571, device='cuda:0')
tensor(3329.4751, device='cuda:0')
tensor(3313.2102, device='cuda:0')
tensor(3336.5415, device='cuda:0')
tensor(3340.6360, device='cuda:0')
tensor(3332.2393, device='cuda:0')
tensor(3331.7866, device='cuda:0')
tensor(3335.1633, device='cuda:0')
tensor(3338.0710, device='cuda:0')
tensor(3346.7600, device='cuda:0')
tensor(3336.3311, device='cuda:0')
tensor(3343.7876, device='cuda:0')
tensor(3337.1294, device='cuda:0')
tensor(3339.2759, device='cuda:0')
tensor(3323.3384, device='cuda:0')
tensor(3338.3350, device='cuda:0')
tensor(3327.9231, device='cuda:0')
tensor(3338.8853, device='cuda:0')
tensor(3330.7642, device='cuda:0')
tensor(3324.8140, device='cuda:0')
tensor(3321.1089, device='cuda:0')
tensor(3338.3374, device='cuda:0')
tensor(3324.3564, device='cuda:0')
tensor(3321.4438, device='cuda:0')
tensor(3326.8340, device='cuda:0')
tensor(3342.3118, device='cuda:0')
tensor(3344.6406, device='cuda:0')
tensor(3344.5779, device='cuda:0')
tensor(3348.2903, device='cuda:0')
tensor(3336.6741, device='cuda:0')
tensor(3334.1350, device='cuda:0')
tensor(3325.9478, device='cuda:0')
tensor(3328.8433, device='cuda:0')
tensor(3332.8862, device='cuda:0')
tensor(3351.7161, device='cuda:0')
tensor(3333.3350, device='cuda:0')
tensor(3334.6416, device='cuda:0')
tensor(3335.9985, device='cuda:0')
tensor(3315.9753, device='cuda:0')
tensor(3333.4448, device='cuda:0')
tensor(3332.0251, device='cuda:0')
tensor(3325.8342, device='cuda:0')
tensor(3338.5835, device='cuda:0')
tensor(3318.2590, device='cuda:0')
tensor(3328.4529, device='cuda:0')
tensor(3323.7017, device='cuda:0')
tensor(3343.3716, device='cuda:0')
tensor(3338.8381, device='cuda:0')
tensor(3319.5103, device='cuda:0')
tensor(3312.7378, device='cuda:0')
tensor(3325.3962, device='cuda:0')
tensor(3318.9065, device='cuda:0')
tensor(3319.1909, device='cuda:0')
tensor(3319.7068, device='cuda:0')
tensor(3330.1809, device='cuda:0')
tensor(3331.5679, device='cuda:0')
tensor(3320.3296, device='cuda:0')
tensor(3342.7153, device='cuda:0')
tensor(3327.9009, device='cuda:0')
tensor(3323.9026, device='cuda:0')
tensor(3344.2483, device='cuda:0')
tensor(3316.4629, device='cuda:0')
tensor(3341.1663, device='cuda:0')
tensor(3324.5674, device='cuda:0')
tensor(3327.3396, device='cuda:0')
tensor(3341.9021, device='cuda:0')
tensor(3322.7700, device='cuda:0')
tensor(3319.4836, device='cuda:0')
tensor(3335.3613, device='cuda:0')
tensor(3336.4917, device='cuda:0')
tensor(3308.4297, device='cuda:0')
tensor(3337.1184, device='cuda:0')
tensor(3348.2729, device='cuda:0')
tensor(3323.3533, device='cuda:0')
tensor(3332.2026, device='cuda:0')
tensor(3330.9917, device='cuda:0')
tensor(3333.8735, device='cuda:0')
tensor(3328.0828, device='cuda:0')
tensor(3328.1511, device='cuda:0')
tensor(3352.8652, device='cuda:0')
tensor(3335.8740, device='cuda:0')
tensor(3359.1460, device='cuda:0')
tensor(3333.6138, device='cuda:0')
tensor(3340.2678, device='cuda:0')
tensor(3329.9910, device='cuda:0')
tensor(3338.8809, device='cuda:0')
tensor(3345.6863, device='cuda:0')
tensor(3338.1780, device='cuda:0')
tensor(3335.3655, device='cuda:0')
tensor(3334.7273, device='cuda:0')
tensor(3315.9634, device='cuda:0')
tensor(3339.2109, device='cuda:0')
tensor(3342.7131, device='cuda:0')
tensor(3325.7864, device='cuda:0')
tensor(3345.1343, device='cuda:0')
tensor(3342.9124, device='cuda:0')
tensor(3336.8279, device='cuda:0')
tensor(3327.9421, device='cuda:0')
tensor(3331.3477, device='cuda:0')
tensor(3332.2007, device='cuda:0')
tensor(3337.0151, device='cuda:0')
tensor(3324.1521, device='cuda:0')
tensor(3328.3394, device='cuda:0')
